Accession,Geo_Location,Collection_Date
MT371007,USA: NY,2020-03-19
MT371008,USA: NY,2020-03-22
MT371009,USA: NY,2020-03-21
MT371012,USA: NY,2020-03-19
MT371013,USA: NY,2020-03-21
MT371015,USA: NY,2020-03-20
MT371016,USA: NY,2020-03-22
MT371017,USA: NY,2020-03-22
MT371018,USA: NY,2020-03-20
MT371019,USA: NY,2020-03-21
MT371022,USA: NY,2020-03-22
MT371023,USA: NY,2020-03-21
MT371026,USA: NY,2020-03-19
MT371027,USA: NY,2020-03-20
MT371028,USA: NY,2020-03-21
MT371029,USA: NY,2020-03-20
MT371032,USA: NY,2020-03-19
MT371033,USA: NY,2020-03-21
MT371034,USA: NY,2020-03-22
MT371035,USA: NY,2020-03-21
MT371036,USA: NY,2020-03-20
MT371038,USA: NY,2020-03-19
MT371047,Sri Lanka,2020-03-16
MT371048,Sri Lanka,2020-03-10
MT371049,Sri Lanka,2020-03-19
MT371050,Sri Lanka,2020-03-31
MT371568,Czech Republic,2020-03-22
MT371569,Czech Republic,2020-03-19
MT371570,Czech Republic,2020-03-21
MT371571,Czech Republic,2020-03-18
MT371572,Czech Republic,2020-03-19
MT371573,Czech Republic,2020-03-17
MT371574,Czech Republic,2020-03-18
MT372480,Malaysia,2020-03-18
MT372481,Malaysia,2020-03-20
MT372482,Malaysia,2020-03-20
MT114412,Hong Kong,2020-01-23
MT114413,Hong Kong,2020-01-24
MT114414,Hong Kong,2020-01-24
MT114415,Hong Kong,2020-01-27
MT114416,Hong Kong,2020-01-27
MT114417,Hong Kong,2020-01-29
MT114418,Hong Kong,2020-01-27
MT114419,Hong Kong,2020-01-29
MT230904,Hong Kong,2020-01-22
MT358401,"USA: New Orleans, LA",2020-04-06
MT358402,"USA: New Orleans, LA",2020-04-06
MT358637,India: Rajkot,2020-04-05
MT358644,USA: WA,2020-04-01
MT358645,USA: WA,2020-03-31
MT358646,USA: WA,2020-03-31
MT358647,USA: WA,2020-03-31
MT358648,USA: WA,2020-03-31
MT358649,USA: WA,2020-03-31
MT358650,USA: WA,2020-03-31
MT358651,USA: CT,2020-03-30
MT358652,USA: ID,2020-03-30
MT358653,USA: CT,2020-03-31
MT358654,USA: CT,2020-03-31
MT358655,USA: ID,2020-03-30
MT358656,USA: WA,2020-03-31
MT358657,USA: WA,2020-03-31
MT358658,USA: WA,2020-03-31
MT358659,USA: WA,2020-03-31
MT358660,USA: WA,2020-03-31
MT358661,USA: OR,2020-03-31
MT358662,USA: WA,2020-03-31
MT358663,USA: WA,2020-03-31
MT358664,USA: WA,2020-03-31
MT358665,USA: WA,2020-03-31
MT358666,USA: WA,2020-03-31
MT358667,USA: WA,2020-03-30
MT358668,USA: WA,2020-03-31
MT358669,USA: WA,2020-03-29
MT358670,USA: WA,2020-03-31
MT358671,USA: WA,2020-03-30
MT358672,USA: WA,2020-03-30
MT358673,USA: CT,2020-03-30
MT358674,USA: WA,2020-03-26
MT358675,USA: WA,2020-03-26
MT358677,USA: WA,2020-03-26
MT358678,USA: WA,2020-03-27
MT358679,USA: WA,2020-03-26
MT358680,USA: WA,2020-03-26
MT358681,USA: WA,2020-03-26
MT358682,USA: WA,2020-03-26
MT358683,USA: WA,2020-03-25
MT358684,USA: WA,2020-03-25
MT358685,USA: WA,2020-03-26
MT358687,USA: WA,2020-03-26
MT358688,USA: WA,2020-03-26
MT358689,USA: WA,2020-03-26
MT358690,USA: WA,2020-03-26
MT358691,USA: WA,2020-03-27
MT358692,USA: WA,2020-03-25
MT358693,USA: CT,2020-03-25
MT358694,USA: WA,2020-03-26
MT358695,USA: WA,2020-03-26
MT358696,USA: WA,2020-03-26
MT358697,USA: WA,2020-03-26
MT358698,USA: WA,2020-03-25
MT358699,USA: WA,2020-03-26
MT358700,USA: WA,2020-03-26
MT358701,USA: WA,2020-03-25
MT358702,USA: WA,2020-03-27
MT358703,USA: ID,2020-03-25
MT358705,USA: ID,2020-03-29
MT358706,USA: WA,2020-03-31
MT358707,USA: WA,2020-03-31
MT358708,USA: WA,2020-03-27
MT358709,USA: ID,2020-03-26
MT358710,USA: WA,2020-03-27
MT358711,USA: WA,2020-03-27
MT358712,USA: WA,2020-03-27
MT358713,USA: WA,2020-03-27
MT358714,USA: WA,2020-03-27
MT358715,USA: WA,2020-03-27
MT358716,USA: WA,2020-03-27
MT358717,USA: WA,2020-03-27
MT358718,USA: WA,2020-03-27
MT358719,USA: WA,2020-03-27
MT358720,USA: WA,2020-03-27
MT358721,USA: WA,2020-03-27
MT358722,USA: WA,2020-03-27
MT358723,USA: WA,2020-03-27
MT358724,USA: WA,2020-03-27
MT358725,USA: WA,2020-03-27
MT358726,USA: WA,2020-03-27
MT358727,USA: WA,2020-03-30
MT358728,USA: WA,2020-03-31
MT358729,USA: WA,2020-03-31
MT358730,USA: WA,2020-03-29
MT358731,USA: WA,2020-03-29
MT358732,USA: WA,2020-03-29
MT358733,USA: WA,2020-03-29
MT358734,USA: WA,2020-03-29
MT358735,USA: WA,2020-03-28
MT358736,USA: WA,2020-03-29
MT358737,USA: WA,2020-03-28
MT358738,USA: WA,2020-03-28
MT358739,USA: WA,2020-03-29
MT358740,USA: WA,2020-03-28
MT358741,USA: WA,2020-03-29
MT358742,USA: WA,2020-03-29
MT358743,USA: WA,2020-04-01
MT358744,USA: WA,2020-04-01
MT358745,USA: ID,2020-03-29
MT358746,USA: WA,2020-03-31
MT358747,USA: WA,2020-03-31
MT358748,USA: WA,2020-03-31
MT359865,Spain,2020-03-15
MT359866,Spain,2020-03-15
MT350236,USA: VA,2020-03
MT350237,USA: VA,2020-03
MT350238,USA: VA,2020-03
MT350239,USA: VA,2020-03
MT350240,USA: VA,2020-03
MT350241,USA: VA,2020-03
MT350242,USA: VA,2020-03
MT350243,USA: VA,2020-03
MT350244,USA: VA,2020-03
MT350245,USA: VA,2020-03
MT350246,USA: VA,2020-04
MT350247,USA: VA,2020-03
MT350248,USA: VA,2020-03
MT350249,USA: VA,2020-03
MT350250,USA: VA,2020-03
MT350251,USA: VA,2020-03
MT350252,USA: VA,2020-03
MT350253,USA: VA,2020-04
MT350254,USA: VA,2020-04
MT350255,USA: VA,2020-04
MT350256,USA: VA,2020-04
MT350257,USA: VA,2020-04
MT350263,USA: WA,2020-03-19
MT350264,USA: WA,2020-03-19
MT350265,USA: WA,2020-03-19
MT350266,USA: WA,2020-03-19
MT350267,USA: WA,2020-03-19
MT350268,USA: WA,2020-03-19
MT350269,USA: WA,2020-03-20
MT350270,USA: WA,2020-03-19
MT350271,USA: WA,2020-03-20
MT350272,USA: WA,2020-03-19
MT350273,USA: WA,2020-03-19
MT350274,USA: WA,2020-03-19
MT350275,USA: WA,2020-03-19
MT350276,USA: WA,2020-03-19
MT350277,USA: WA,2020-03-19
MT350278,USA: WA,2020-03-19
MT350279,USA: WA,2020-03-19
MT350280,USA: WA,2020-03-19
MT350282,Brazil,2020-03-18
MT344944,USA: CT,2020-03-08
MT344945,USA: GA,2020-03-07
MT344946,USA: GA,2020-03
MT344947,USA: GA,2020-03
MT344948,USA: HI,2020-03-05
MT344949,USA: HI,2020-03-07
MT344950,USA: IN,2020-03-07
MT344951,USA: IN,2020-03-08
MT344952,USA: IN,2020-03-09
MT344953,USA: MD,2020-03-04
MT344954,USA: MN,2020-03-05
MT344955,USA: OH,2020-03-08
MT344956,USA: OH,2020-03-07
MT344957,USA: PA,2020-03-07
MT344958,USA: PA,2020-03-07
MT344959,USA: PA,2020-03-08
MT344960,USA: RI,2020-03-09
MT344961,USA: NV,2020-03-07
MT344962,USA: MN,2020-03-07
MT344963,USA: NC,2020-03-08
MT345798,USA: WA,2020-03-24
MT345799,USA: WA,2020-03-23
MT345801,USA: WA,2020-03-25
MT345802,USA,2020-03-21
MT345803,USA: ID,2020-03-21
MT345805,USA: WA,2020-03-23
MT345806,USA: WA,2020-03-25
MT345808,USA: WA,2020-03-25
MT345809,USA: WA,2020-03-25
MT345811,USA: WA,2020-03-24
MT345812,USA: WA,2020-03-25
MT345814,USA: WA,2020-03-24
MT345815,USA: WA,2020-03-24
MT345816,USA,2020-03-23
MT345817,USA: ID,2020-03-24
MT345819,USA: WA,2020-03-25
MT345821,USA: WA,2020-03-25
MT345822,USA: WA,2020-03-25
MT345823,USA: WA,2020-03-25
MT345824,USA: WA,2020-03-25
MT345825,USA: WA,2020-03-25
MT345826,USA: WA,2020-03-25
MT345827,USA: WA,2020-03-25
MT345828,USA: ID,2020-03-23
MT345829,USA: WA,2020-03-25
MT345830,USA: WA,2020-03-25
MT345832,USA: WA,2020-03-25
MT345833,USA: WA,2020-03-25
MT345834,USA: WA,2020-03-26
MT345835,USA: WA,2020-03-25
MT345836,USA: WA,2020-03-23
MT345838,USA: WA,2020-03-23
MT345840,USA: WA,2020-03-24
MT345841,USA: WA,2020-03-24
MT345842,USA: WA,2020-03-24
MT345843,USA: WA,2020-03-24
MT345844,USA: WA,2020-03-24
MT345846,USA: WA,2020-03-24
MT345847,USA: WA,2020-03-24
MT345848,USA: WA,2020-03-24
MT345849,USA: WA,2020-03-24
MT345850,USA: WA,2020-03-24
MT345851,USA: WA,2020-03-25
MT345852,USA: WA,2020-03-25
MT345853,USA: WA,2020-03-25
MT345854,USA: WA,2020-03-25
MT345855,USA: WA,2020-03-25
MT345856,USA: WA,2020-03-25
MT345857,USA: ID,2020-03-24
MT345858,USA: ID,2020-03-23
MT345859,USA: WA,2020-03-25
MT345860,USA: WA,2020-03-25
MT345861,USA: WA,2020-03-25
MT345862,USA: WA,2020-03-25
MT345865,USA: WA,2020-03-25
MT345866,USA: ID,2020-03-23
MT345867,USA: WA,2020-03-23
MT345868,USA: CT,2020-03-30
MT345869,USA: CT,2020-03-30
MT345870,USA: CT,2020-03-30
MT345871,USA: ID,2020-03-27
MT345872,USA: ID,2020-03-27
MT345873,USA: CT,2020-03-30
MT345874,USA: CT,2020-03-30
MT345875,USA: ID,2020-03-28
MT345876,USA: ID,2020-03-28
MT345877,USA: ID,2020-03-27
MT345878,USA: OR,2020-03-29
MT345879,USA: ID,2020-03-28
MT345880,USA: ID,2020-03-28
MT345881,USA: WA,2020-03-30
MT345882,USA: WA,2020-03-31
MT345883,USA: WA,2020-03-31
MT345884,USA: ID,2020-03-29
MT345885,USA: ID,2020-03-30
MT345886,USA: ID,2020-03-27
MT345887,USA: ID,2020-03-29
MT345888,USA: ID,2020-03-29
MT339039,"USA: Maricopa County, Arizona",2020-03-17
MT339040,"USA: Maricopa County, Arizona",2020-03-16
MT339041,"USA: Maricopa County, Arizona",2020-03-17
MT334523,USA: UT,2020-03-05
MT334526,USA: UT,2020-03-07
MT334529,USA: UT,2020-03-10
MT334531,USA: UT,2020-03-12
MT334533,USA: UT,2020-03-13
MT334534,USA: UT,2020-03-13
MT334535,USA: UT,2020-03-13
MT334536,USA: UT,2020-03-13
MT334537,USA: UT,2020-03-13
MT334538,USA: UT,2020-03-13
MT334539,USA: UT,2020-03-14
MT334540,USA: UT,2020-03-14
MT334541,USA: UT,2020-03-11
MT334542,USA: UT,2020-03-11
MT334544,USA: UT,2020-03-19
MT334546,USA: UT,2020-03-19
MT334547,USA: UT,2020-03-19
MT334557,USA: UT,2020-03-20
MT334561,USA: UT,2020-03-26
MT324062,South Africa: KwaZulu-Natal,2020-03-07
MT324684,USA,2020-03-25
MT325561,USA: AZ,2020-03-09
MT325562,USA: AZ,2020-03-09
MT325563,USA: DC,2020-03-06
MT325564,USA: FL,2020-03-06
MT325565,USA: FL,2020-03-02
MT325566,USA: FL,2020-03-05
MT325567,USA: FL,2020-03-05
MT325568,USA: FL,2020-03-06
MT325569,USA: GA,2020-03-04
MT325570,USA: GA,2020-03-05
MT325571,USA: GA,2020-03
MT325572,USA: GA,2020-03-08
MT325573,USA: GA,2020-03
MT325574,USA: GA,2020-03
MT325575,USA: GA,2020-03-10
MT325576,USA: IA,2020-03-08
MT325577,USA: IL,2020-03-07
MT325578,USA: IL,2020-03-07
MT325579,USA: IN,2020-03-09
MT325580,USA: KS,2020-03-06
MT325581,USA: LA,2020-03-09
MT325582,USA: MA,2020-03-05
MT325583,USA: MA,2020-03-06
MT325584,USA: MA,2020-03-06
MT325585,USA: MA,2020-03-06
MT325586,USA: MA,2020-03-07
MT325587,USA: MD,2020-03-04
MT325588,USA: MO,2020-03-06
MT325589,USA: NC,2020-03-08
MT325590,USA: NC,2020-03-07
MT325591,USA: NC,2020-03-06
MT325592,USA: NE,2020-03-05
MT325593,USA: NE,2020-03-07
MT325594,USA: NH,2020-03-06
MT325595,USA: NH,2020-03-06
MT325596,USA: NJ,2020-03-04
MT325597,USA: NV,2020-03-09
MT325598,USA: OH,2020-03-08
MT325599,USA: PA,2020-03-05
MT325600,USA: PA,2020-03-05
MT325601,USA: PA,2020-03-07
MT325602,USA: PA,2020-03-08
MT325603,USA: PA,2020-03-09
MT325604,USA: PA,2020-03-06
MT325605,USA: RI,2020-03-05
MT325606,USA: SC,2020-03-06
MT325607,USA: SC,2020-03-07
MT325608,USA: SC,2020-03-08
MT325609,USA: UT,2020-03-05
MT325610,USA: UT,2020-03-07
MT325611,USA: VA,2020-03-08
MT325612,USA: VA,2020-03-08
MT325613,USA: VA,2020-03-08
MT325614,USA: VA,2020-03-08
MT325615,USA: IA,2020-03-07
MT325616,USA: MA,2020-03-06
MT325617,USA: IA,2020-03-08
MT325618,USA: IA,2020-03-08
MT325619,USA: IA,2020-03-08
MT325620,USA: IA,2020-03-08
MT325621,USA: IA,2020-03-07
MT325622,USA: NJ,2020-03-04
MT325623,USA: SC,2020-03-05
MT325624,USA: SC,2020-03-07
MT325625,USA: SC,2020-03-07
MT325626,USA: SC,2020-03-05
MT325627,USA: NY,2020-03-04
MT325628,USA: VA,2020-03-06
MT325629,USA: MA,2020-03-05
MT325630,USA: MA,2020-03-05
MT325631,USA: MA,2020-03-05
MT325632,USA: MA,2020-03-04
MT325633,USA: MA,2020-03-04
MT325634,USA: MA,2020-03-05
MT325635,USA: MA,2020-03-06
MT325636,USA: MA,2020-03-06
MT325637,USA: MA,2020-03-06
MT325638,USA: MA,2020-03-06
MT325639,USA: MA,2020-03-07
MT325640,USA: MA,2020-03-06
MT326023,USA,2020-03-24
MT326024,USA,2020-03-24
MT326027,USA,2020-03-24
MT326028,USA,2020-03-24
MT326029,USA,2020-03-24
MT326030,USA,2020-03-24
MT326035,USA,2020-03-23
MT326036,USA,2020-03-23
MT326039,USA,2020-03-23
MT326040,USA,2020-03-21
MT326041,USA,2020-03-20
MT326042,USA,2020-03-23
MT326046,USA,2020-03-23
MT326048,USA,2020-03-23
MT326049,USA,2020-03-23
MT326051,USA,2020-03-23
MT326052,USA,2020-03-23
MT326053,USA,2020-03-23
MT326054,USA,2020-03-23
MT326055,USA,2020-03-21
MT326056,USA,2020-03-24
MT326058,USA,2020-03-24
MT326061,USA,2020-03-23
MT326063,USA,2020-03-24
MT326065,USA,2020-03-24
MT326066,USA,2020-03-24
MT326067,USA,2020-03-24
MT326068,USA,2020-03-24
MT326069,USA,2020-03-24
MT326070,USA,2020-03-24
MT326071,USA,2020-03-22
MT326074,USA,2020-03-20
MT326075,USA,2020-03-20
MT326076,USA,2020-03-24
MT326078,USA,2020-03-24
MT326081,USA,2020-03-24
MT326082,USA,2020-03-23
MT326083,USA,2020-03-22
MT326084,USA,2020-03-22
MT326085,USA,2020-03-20
MT326086,USA,2020-03-19
MT326087,USA,2020-03-23
MT326088,USA,2020-03-23
MT326089,USA,2020-03-21
MT326090,USA,2020-03-21
MT326091,USA,2020-03-16
MT326092,USA,2020-03-22
MT326093,USA,2020-03-22
MT326094,USA,2020-03-22
MT326095,USA,2020-03-22
MT326096,USA,2020-03-22
MT326097,USA,2020-03-21
MT326099,USA,2020-03-22
MT326100,USA,2020-03-22
MT326103,USA,2020-03-22
MT326104,USA,2020-03-22
MT326105,USA,2020-03-22
MT326106,USA,2020-03-22
MT326111,USA,2020-03-22
MT326112,USA,2020-03-20
MT326113,USA,2020-03-20
MT326116,USA,2020-03-20
MT326117,USA,2020-03-20
MT326118,USA,2020-03-21
MT326119,USA,2020-03-20
MT326120,USA,2020-03-21
MT326121,USA,2020-03-20
MT326123,USA,2020-03-20
MT326124,USA,2020-03-20
MT326125,USA,2020-03-20
MT326127,USA,2020-03-20
MT326128,USA,2020-03-20
MT326129,USA,2020-03-20
MT326130,USA,2020-03-20
MT326132,USA,2020-03-20
MT326133,USA,2020-03-20
MT326134,USA,2020-03-20
MT326135,USA,2020-03-20
MT326136,USA,2020-03-19
MT326137,USA,2020-03-19
MT326138,USA,2020-03-20
MT326140,USA,2020-03-20
MT326148,USA,2020-03-21
MT326149,USA,2020-03-21
MT326150,USA,2020-03-21
MT326151,USA,2020-03-21
MT326152,USA,2020-03-21
MT326153,USA,2020-03-21
MT326154,USA,2020-03-21
MT326158,USA,2020-03-21
MT326159,USA,2020-03-21
MT326160,USA,2020-03-21
MT326161,USA,2020-03-21
MT326162,USA,2020-03-21
MT326164,USA,2020-03-21
MT326166,USA,2020-03-21
MT326167,USA,2020-03-21
MT326169,USA,2020-03-22
MT326173,USA,2020
MT326178,USA,2020-03-19
MT326180,USA,2020-03-19
MT326181,USA,2020-03-14
MT326184,USA,2020-03-17
MT326185,USA,2020-03-17
MT326187,USA,2020-03-18
MT326190,USA,2020-03-18
MT326191,USA,2020-03-18
MT327745,Turkey,2020-03-17
MT328032,Greece,2020-03-18
MT328033,Greece,2020-03-18
MT328034,Greece,2020-03-18
MT328035,Greece,2020-03-18
MT039874,China,2020-01-22
MT077125,Italy,2020-01-31
MT322394,USA: VA,2020-03
MT322395,USA: VA,2020-03
MT322396,USA: VA,2020-03
MT322397,USA: VA,2020-03
MT322398,USA: VA,2020-03
MT322400,USA: VA,2020-03
MT322401,USA: VA,2020-03
MT322402,USA: VA,2020-03
MT322403,USA: VA,2020-03
MT322404,USA: VA,2020-03
MT322405,USA: VA,2020-03
MT322406,USA: VA,2020-03
MT322407,USA: VA,2020-03
MT322408,USA: VA,2020-03
MT322409,USA: VA,2020-03
MT322410,USA: VA,2020-03
MT322411,USA: VA,2020-03
MT322412,USA: VA,2020-03
MT322413,USA: VA,2020-03
MT322414,USA: VA,2020-03
MT322415,USA: VA,2020-03
MT322416,USA: VA,2020-03
MT322417,USA: VA,2020-03
MT322418,USA: VA,2020-03
MT322419,USA: VA,2020-03
MT322420,USA: VA,2020-03
MT322421,USA: VA,2020-03
MT322422,USA: VA,2020-03
MT322423,USA: VA,2020-03
MT322424,USA: VA,2020-03
MT320538,France,2020-03
MT320891,Iran,2020-03-09
MT308702,USA: NC,2020-04
MT308703,USA: NC,2020-04
MT308704,USA: NC,2020-04
MT300186,USA: North Carolina,2020-04-02
MT304474,South Korea,2020-02-27
MT304475,South Korea,2020-02-29
MT304476,South Korea,2020-02-29
MT304477,USA: AZ,2020-03-02
MT304478,USA: FL,2020-03-02
MT304479,USA: GA,2020-03-03
MT304480,USA: GA,2020-03-03
MT304481,USA: GA,2020-03-04
MT304482,USA: IL,2020-03-01
MT304483,USA: IL,2020-03-01
MT304484,USA: NH,2020-02-29
MT304485,USA: NH,2020-03-02
MT304486,USA: NY,2020-03-02
MT304487,USA: OR,2020-03-01
MT304488,USA: RI,2020-03-01
MT304489,USA: TX,2020-02-29
MT304490,USA: TX,2020-03-01
MT304491,USA: TX,2020-03-01
MT281577,"China: Anhui, Fuyang",2020-03-10
MT291826,China: Wuhan,2019-12-30
MT291827,China: Wuhan,2019-12-30
MT291828,China: Wuhan,2019-12-30
MT291829,China: Wuhan,2019-12-30
MT291830,China: Wuhan,2019-12-30
MT291831,China: Beijing,2020-01-24
MT291832,China: Beijing,2020-01-25
MT291833,China: Beijing,2020-01-28
MT291834,China: Beijing,2020-01-28
MT291835,China: Beijing,2020-01-27
MT291836,China: Beijing,2020-01-29
MT292569,Spain,2020-03-09
MT292570,Spain,2020-03-10
MT292571,Spain,2020-03-09
MT292572,Spain,2020-03-10
MT292573,Spain,2020-03-09
MT292574,Spain,2020-03-02
MT292575,Spain,2020-03-10
MT293156,USA: WA,2020-03-30
MT293158,USA: WA,2020-03-16
MT293159,USA: WA,2020-03-16
MT293160,USA: WA,2020-03-16
MT293161,USA: WA,2020-03-16
MT293162,USA: WA,2020-03-16
MT293163,USA: WA,2020-03-29
MT293164,USA: WA,2020-03-17
MT293165,USA: WA,2020-03-17
MT293166,USA: WA,2020-03-17
MT293167,USA: WA,2020-03-17
MT293168,USA: WA,2020-03-17
MT293169,USA: WA,2020-03-17
MT293170,USA: WA,2020-03-18
MT293171,USA: WA,2020-03-17
MT293172,USA: WA,2020-03-17
MT293173,USA: WA,2020-03-30
MT293174,USA: WA,2020-03-27
MT293175,USA: WA,2020-03-30
MT293176,USA: WA,2020-03-17
MT293177,USA,2020-03-16
MT293178,USA: WA,2020-03-26
MT293179,USA: WA,2020-03-17
MT293180,USA: WA,2020-03-17
MT293181,USA: WA,2020-03-18
MT293182,USA: WA,2020-03-18
MT293183,USA: WA,2020-03-18
MT293184,USA: WA,2020-03-18
MT293185,USA: WA,2020-03-28
MT293186,USA: WA,2020-03-17
MT293187,USA: WA,2020-03-17
MT293188,USA: WA,2020-03-28
MT293189,USA: WA,2020-03-18
MT293190,USA: WA,2020-03-17
MT293191,USA: WA,2020-03-17
MT293192,USA: WA,2020-03-28
MT293194,USA: WA,2020-03-18
MT293195,USA: WA,2020-03-28
MT293196,USA: WA,2020-03-19
MT293197,USA: WA,2020-03-19
MT293198,USA: WA,2020-03-19
MT293199,USA: WA,2020-03-19
MT293200,USA: WA,2020-03-19
MT293201,USA: WA,2020-03-19
MT293202,USA: WA,2020-03-19
MT293204,USA: WA,2020-03-18
MT293205,USA: WA,2020-03-19
MT293206,USA: WA,2020-03-19
MT293207,USA: WA,2020-03-19
MT293208,USA: WA,2020-03-19
MT293209,USA: WA,2020-03-19
MT293210,USA: WA,2020-03-19
MT293211,USA: WA,2020-03-19
MT293212,USA: WA,2020-03-19
MT293213,USA: WA,2020-03-19
MT293215,USA: WA,2020-03-19
MT293216,USA: WA,2020-03-19
MT293218,USA: WA,2020-03-18
MT293219,USA: WA,2020-03-18
MT293220,USA: WA,2020-03-18
MT293222,USA: WA,2020-03-18
MT293224,USA: WA,2020-03-18
MT293225,USA: WA,2020-03-18
MT295464,USA,2020-03-10
MT295465,USA,2020-03-27
MT276323,USA: RI,2020-02-28
MT276324,USA: CA,2020-02-26
MT276325,USA: WA,2020-02-27
MT276326,USA: GA,2020-02-29
MT276327,USA: GA,2020-02-29
MT276328,USA: OR,2020-02-27
MT276329,USA: FL,2020-02-28
MT276330,USA: FL,2020-02-28
MT276331,USA: TX,2020-02-29
MT276597,Israel,2020-02
MT276598,Israel,2020-03
MT262896,USA: WA,2020-03-13
MT262897,USA: WA,2020-03-13
MT262898,USA: WA,2020-03-13
MT262899,USA: WA,2020-03-13
MT262900,USA: WA,2020-03-13
MT262901,USA: WA,2020-03-13
MT262902,USA: WA,2020-03-13
MT262903,USA: WA,2020-03-13
MT262904,USA: WA,2020-03-13
MT262905,USA: WA,2020-03-13
MT262906,USA: WA,2020-03-13
MT262907,USA: WA,2020-03-13
MT262908,USA: WA,2020-03-13
MT262909,USA: WA,2020-03-13
MT262910,USA: WA,2020-03-13
MT262911,USA: WA,2020-03-13
MT262912,USA: WA,2020-03-13
MT262913,USA: WA,2020-03-13
MT262914,USA: WA,2020-03-13
MT262915,USA: WA,2020-03-13
MT262916,USA: WA,2020-03-13
MT262993,Pakistan: KPK,2020-03-12
MT263074,Peru,2020-03-10
MT263381,USA: WA,2020-03-23
MT263382,USA: WA,2020-03-23
MT263383,USA: WA,2020-03-24
MT263384,USA: WA,2020-03-23
MT263386,USA: CT,2020-03-14
MT263387,USA: WA,2020-03-16
MT263388,USA: WA,2020-03-16
MT263390,USA: WA,2020-03-24
MT263391,USA: WA,2020-03-16
MT263392,USA: WA,2020-03-24
MT263394,USA: WA,2020-03-14
MT263395,USA: WA,2020-03-14
MT263396,USA: WA,2020-03-13
MT263398,USA: WA,2020-03-24
MT263399,USA: WA,2020-03-24
MT263400,USA: WA,2020-03-23
MT263402,USA: WA,2020-03-23
MT263403,USA: WA,2020-03-16
MT263404,USA: WA,2020-03-24
MT263405,USA: WA,2020-03-16
MT263406,USA: MN,2020-03-13
MT263408,USA: WA,2020-03-24
MT263410,USA: WA,2020-03-16
MT263411,USA: CT,2020-03-14
MT263412,USA: WA,2020-03-16
MT263413,USA: WA,2020-03-16
MT263414,USA: WA,2020-03-24
MT263415,USA: MN,2020-03-13
MT263416,USA: WA,2020-03-16
MT263417,USA: WA,2020-03-24
MT263418,USA: WA,2020-03-16
MT263419,USA: WA,2020-03-16
MT263420,USA: WA,2020-03-20
MT263421,USA: WA,2020-03-24
MT263422,USA: WA,2020-03-16
MT263423,USA: WA,2020-03-23
MT263424,USA: WA,2020-03-24
MT263425,USA: WA,2020-03-24
MT263426,USA: WA,2020-03-16
MT263428,USA: IL,2020-03-13
MT263429,USA: IL,2020-03-13
MT263430,USA: WA,2020-03-24
MT263431,USA: WA,2020-03-24
MT263432,USA: WA,2020-03-24
MT263433,USA: IL,2020-03-13
MT263434,USA: WA,2020-03-24
MT263435,USA: WA,2020-03-24
MT263436,USA: WA,2020-03-24
MT263437,USA: WA,2020-03-14
MT263438,USA,2020-03
MT263439,USA: WA,2020-03-24
MT263440,USA: WA,2020-03-24
MT263441,USA: WA,2020-03-24
MT263442,USA: WA,2020-03-24
MT263443,USA: WA,2020-03-24
MT263444,USA: WA,2020-03-20
MT263445,USA: WA,2020-03-24
MT263446,USA: WA,2020-03-24
MT263447,USA: WA,2020-03-14
MT263448,USA: WA,2020-03-16
MT263449,USA: WA,2020-03-24
MT263450,USA: WA,2020-03-24
MT263451,USA: WA,2020-03-16
MT263452,USA: WA,2020-03-17
MT263453,USA: WA,2020-03-24
MT263454,USA: WA,2020-03
MT263455,USA: WA,2020-03-24
MT263456,USA: WA,2020-03-24
MT263457,USA: WA,2020-03-15
MT263458,USA: WA,2020-03-15
MT263459,USA: WA,2020-03-24
MT263462,USA: WA,2020-03-23
MT263463,USA: CT,2020-03-16
MT263464,USA: WA,2020-03-16
MT263465,USA: WA,2020-03-16
MT263467,USA: WA,2020-03-16
MT263468,USA: WA,2020-03-17
MT263469,USA: WA,2020-03-15
MT256924,Colombia: Antioquia,2020-03-11
MT258377,"USA: San Francisco, CA",2020-03-18
MT258378,"USA: San Francisco, CA",2020-03-18
MT258379,"USA: San Francisco, CA",2020-03-18
MT258380,"USA: San Francisco, CA",2020-03-18
MT258381,"USA: San Francisco, CA",2020-03-18
MT258382,"USA: San Francisco, CA",2020-03-18
MT258383,"USA: San Francisco, CA",2020-03-18
MT259226,"China: Hubei, Wuhan",2020-01-10
MT259227,"China: Hubei, Wuhan",2020-01-26
MT259228,"China: Hubei, Wuhan",2020-01-26
MT259229,"China: Hubei, Wuhan",2020-01-26
MT259230,"China: Hubei, Wuhan",2020-01-25
MT259231,"China: Hubei, Wuhan",2020-01-25
MT259235,USA: WA,2020-03-13
MT259236,USA: WA,2020-03-16
MT259237,USA: WA,2020-03-16
MT259239,USA: WA,2020-03-16
MT259241,USA: WA,2020-03-16
MT259243,USA: WA,2020-03-13
MT259244,USA: WA,2020-03-16
MT259245,USA: WA,2020-03-15
MT259246,USA: WA,2020-03-13
MT259247,USA: WA,2020-03-16
MT259248,USA: CT,2020-03-14
MT259249,USA: WA,2020-03-13
MT259250,USA: WA,2020-03-14
MT259251,USA: WA,2020-03-14
MT259252,USA: WA,2020-03-14
MT259253,USA: WA,2020-03-16
MT259254,USA: WA,2020-03-16
MT259256,USA: WA,2020-03-13
MT259257,USA: WA,2020-03-16
MT259258,USA: MN,2020-03-13
